genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/chicken_galGal5/gg5.ens90.P2000M.gtf none -d MP_16_chicken_1A.M MP_17_chicken_2A.M MP_18_chicken_3A.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	MP_16_chicken_1A.M (2734712.0 total)	MP_17_chicken_2A.M (2690336.0 total)	MP_18_chicken_3A.M (3577958.0 total)
ENSGALG00000036044	ENSGALT00000047885	chr5	278455	285029	-	1560.0	1	0.000	7.000	2.000	20.000
LHX6	ENSGALT00000069304	chr17	9207911	9219104	-	3757.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044963	ENSGALT00000088202	chrUn_NT_468333v1	4582	5716	-	1023.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034736	ENSGALT00000063254	chr3_NT_459029v1_random	15990	19014	+	2938.0	1	0.000	0.000	0.000	0.000
FABP5	ENSGALT00000052937	chr2	121898100	121903161	+	1298.0	1	0.000	3.000	2.000	2.000
ENSGALG00000034706	ENSGALT00000058087	chr14_NT_462397v1_random	130	4537	-	1641.0	1	0.000	0.000	0.000	0.000
ICOS	ENSGALT00000014100	chr7	13429325	13441393	-	2696.0	1	0.000	23.000	11.000	6.000
ENSGALG00000038051	ENSGALT00000051201	chrUn_NT_468014v1	10534	12039	-	1356.0	1	0.000	0.000	0.000	0.000
HMGB2	ENSGALT00000017483	chr4	43583240	43585370	-	1137.0	1	0.000	81.000	58.000	98.000
ENSGALG00000029856	ENSGALT00000053459	chr2	30960417	30964055	-	476.0	1	0.000	671.000	684.000	865.000
ENSGALG00000030003	ENSGALT00000063807	chr27	5405581	5413025	+	1936.0	1	0.000	251.000	261.000	327.000
ENSGALG00000044086	ENSGALT00000090303	chrUn_NT_465871v1	33	3753	+	3432.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032873	ENSGALT00000071574	chrUn_NT_470182v1	59	4005	+	2763.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044545	ENSGALT00000088204	chr33_NT_463455v1_random	18117	52566	+	2542.0	1	0.000	0.000	0.000	0.000
RBPJ	ENSGALT00000067531	chr4	73717884	73725617	-	1205.0	1	0.000	75.000	72.000	87.000
ENSGALG00000034516	ENSGALT00000060440	chr18	1285875	1501949	-	1483.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043846	ENSGALT00000084616	chr1_NT_456198v1_random	4659	6826	+	2167.0	1	0.000	0.000	0.000	0.000
MYT1	ENSGALT00000074563	chr20	9308529	9331879	-	3683.0	1	0.000	0.000	0.000	0.000
HIVEP1	ENSGALT00000020790	chr2	62919854	63029485	-	8118.0	1	0.000	14.000	23.000	27.000
DPP7	ENSGALT00000076895	chr17	799227	820934	+	3785.0	1	0.000	323.000	203.000	373.000
UBALD2	ENSGALT00000079670	chr18	4508916	4514765	-	2470.0	1	0.000	168.000	225.000	224.000
ENSGALG00000040804	ENSGALT00000075348	chr3	78742086	78743423	+	1203.0	1	0.000	145.000	114.000	132.000
RNF157	ENSGALT00000003128	chr18	4520588	4533542	+	4039.0	1	0.000	0.000	1.000	1.000
TTBK1	ENSGALT00000014055	chr3	15903435	15981942	+	6067.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043196	ENSGALT00000077413	chrUn_NT_464618v1	16676	20953	-	3486.0	1	0.000	0.000	0.000	0.000
GABPB1	ENSGALT00000038751	chr10	10854224	10873634	+	2843.0	1	0.000	103.000	103.000	120.000
SNX6	ENSGALT00000016282	chr5	35950635	35975560	-	3887.0	1	0.000	246.000	202.000	280.000
SLC6A11	ENSGALT00000007788	chr12	4050552	4135425	+	4320.0	1	0.000	0.000	0.000	0.000
NHLRC2	ENSGALT00000014546	chr6	27592399	27625494	+	4882.0	1	0.000	46.000	37.000	66.000
ENSGALG00000026422	ENSGALT00000081056	chr7	28369889	28382126	-	5208.0	1	0.000	21.000	15.000	30.000
CSNK1D	ENSGALT00000038956	chr18	4897330	4920534	+	6650.0	1	0.000	137.000	181.000	160.000
ENSGALG00000040945	ENSGALT00000053077	chr4	77902952	77924573	-	681.0	1	0.000	0.000	0.000	0.000
BLK	ENSGALT00000026890	chr3	107708021	107729966	+	3523.0	1	0.000	316.000	382.000	620.000
ENSGALG00000029867	ENSGALT00000054095	chrUn_NT_464173v1	30135	48810	+	5367.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043851	ENSGALT00000089969	chrUn_NT_464223v1	8012	11114	+	3066.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036559	ENSGALT00000056935	chrUn_NT_471566v1	863	7222	+	3653.0	1	0.000	0.000	0.000	0.000
ENSGALG00000005534	ENSGALT00000008877	chr6	16681267	16720703	-	1742.0	1	0.000	63.000	85.000	86.000
CSMD2	ENSGALT00000071991	chr23	4634006	4864095	+	12771.0	1	0.000	0.000	0.000	0.000
gga-mir-1746	ENSGALT00000042148	chr20	8833170	8835269	-	2099.0	1	0.000	0.000	0.000	0.000
KIAA1524	ENSGALT00000024790	chr1	87568051	87602011	-	4107.0	1	0.000	5.000	10.000	6.000
ARPC3	ENSGALT00000006056	chr15	5321668	5328598	+	3076.0	1	0.000	523.000	455.000	624.000
SOSTDC1	ENSGALT00000080778	chr2	28462105	28467890	-	3428.0	1	0.000	0.000	0.000	0.000
TAF1B	ENSGALT00000026516	chr3	96811881	96858746	+	4296.0	1	0.000	22.000	23.000	15.000
SFXN3	ENSGALT00000039302	chr6	23071185	23073850	-	1354.0	1	0.000	0.000	0.000	0.000
ENSGALG00000027711	ENSGALT00000043756	chr2	90441406	90441514	-	108.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035818	ENSGALT00000082119	chrUn_NT_474966v1	196	4276	-	3294.0	1	0.000	0.000	0.000	0.000
PLXDC2	ENSGALT00000012922	chr2	18542512	18786832	-	3563.0	1	0.000	0.000	0.000	0.000
ENSGALG00000007665	ENSGALT00000012422	chr15	10059096	10072074	-	4252.0	1	0.000	0.000	0.000	0.000
ENSGALG00000020575	ENSGALT00000032883	chr7	36400378	36402792	-	1022.0	1	0.000	0.000	1.000	1.000
TIPARP	ENSGALT00000016682	chr9	22947726	22968865	-	4282.0	1	0.000	112.000	84.000	111.000
HDHD2	ENSGALT00000060559	chrZ	1757690	1767596	+	4028.0	1	0.000	11.000	20.000	29.000
WDR36	ENSGALT00000000326	chrZ	46726620	46756993	-	3790.0	1	0.000	98.000	73.000	63.000
ENSGALG00000030719	ENSGALT00000081767	chr5	45979330	45995515	-	1972.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043109	ENSGALT00000052902	chrUn_NT_472337v1	747	3745	-	2931.0	1	0.000	0.000	0.000	0.000
TMSB4X	ENSGALT00000082743	chr1	123358484	123359933	-	723.0	1	0.000	9009.000	8281.000	9049.000
ALAD	ENSGALT00000014401	chr17	1938858	1947767	+	2675.0	1	0.000	103.000	121.000	171.000
KCNT1	ENSGALT00000038919	chr17	8695926	8724149	-	5987.0	1	0.000	0.000	0.000	0.000
THAP12	ENSGALT00000001229	chr1	193796220	193809102	+	2671.0	1	0.000	4.000	4.000	11.000
ENSGALG00000033948	ENSGALT00000068482	chr20_NT_462802v1_random	2653	4116	-	795.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037815	ENSGALT00000077699	chrUn_NT_465053v1	8703	22054	+	3014.0	1	0.000	0.000	0.000	0.000
CDC25A	ENSGALT00000063019	chr2	569650	582544	+	2241.0	1	0.000	37.000	39.000	68.000
ENSGALG00000035349	ENSGALT00000080852	chrUn_NT_468275v1	790	4397	+	2955.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034329	ENSGALT00000053052	chr1	112227084	112227656	-	273.0	1	0.000	0.000	1.000	2.000
ENSGALG00000032953	ENSGALT00000064966	chr4	19548868	19548950	+	82.0	1	0.000	0.000	0.000	0.000
TMED5	ENSGALT00000009497	chr8	14013392	14023121	+	5396.0	1	0.000	421.000	495.000	588.000
ENSGALG00000045329	ENSGALT00000085708	chr1_NT_456258v1_random	4501	6659	+	2158.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030309	ENSGALT00000060700	chr1_NT_456334v1_random	6971	11429	-	971.0	1	0.000	0.000	0.000	0.000
TRIAP1	ENSGALT00000011652	chr15	9338307	9342928	+	4431.0	1	0.000	138.000	140.000	142.000
ENSGALG00000032483	ENSGALT00000072210	chrUn_NT_464177v1	6888	20744	+	3181.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031399	ENSGALT00000071234	chrUn_NT_479452v1	-1979	1037	-	2731.0	1	0.000	0.000	0.000	0.000
Mtch2	ENSGALT00000066713	chr5	371943	376492	+	2842.0	1	0.000	85.000	82.000	97.000
AASS	ENSGALT00000014559	chr1	22868095	22897501	+	4939.0	1	0.000	0.000	0.000	0.000
MSH4	ENSGALT00000065699	chr8	29900571	29921846	+	2090.0	1	0.000	18.000	5.000	15.000
ENSGALG00000039838	ENSGALT00000062596	chrUn_NT_472418v1	3054	6233	-	2653.0	1	0.000	0.000	0.000	0.000
gga-mir-302d	ENSGALT00000035318	chr4	57457179	57457247	+	68.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031785	ENSGALT00000055435	chr5	48099832	48101791	-	186.0	1	0.000	0.000	0.000	0.000
ENSGALG00000029474	ENSGALT00000075249	chr2	106661252	106675533	+	671.0	1	0.000	15.000	12.000	14.000
ELOF1	ENSGALT00000070905	chr30_NT_463423v1_random	15348	18368	+	2293.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036896	ENSGALT00000082951	chr6	24198574	24206632	-	1576.0	1	0.000	0.000	4.000	1.000
CETP	ENSGALT00000001871	chr11	668620	676247	+	3971.0	1	0.000	0.000	1.000	3.000
MAP3K8	ENSGALT00000011897	chr2	15017676	15034648	+	1633.0	1	0.000	1.000	2.000	1.000
ENSGALG00000004975	ENSGALT00000007977	chr4	2056109	2059396	-	1798.0	1	0.000	68.000	60.000	64.000
ENSGALG00000034788	ENSGALT00000057632	chr1	37937947	37938426	-	430.0	1	0.000	0.000	0.000	3.000
ENSGALG00000010288	ENSGALT00000016740	chr3	30486931	30513550	+	2100.0	1	0.000	1.000	0.000	0.000
KCNB1	ENSGALT00000034233	chr20	6714764	6815612	-	4551.0	1	0.000	20.000	19.000	21.000
gga-mir-19b	ENSGALT00000028956	chr1	148023376	148023462	-	86.0	1	0.000	0.000	0.000	0.000
ING2	ENSGALT00000066079	chr4	40099407	40103178	-	723.0	1	0.000	30.000	31.000	38.000
ENSGALG00000040488	ENSGALT00000026739	chr1	113326476	113331457	+	1900.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035985	ENSGALT00000063863	chr8	2301761	2302881	-	744.0	1	0.000	0.000	0.000	0.000
ENSGALG00000023070	ENSGALT00000037577	chr5	45639765	45645089	-	1417.0	1	0.000	0.000	0.000	0.000
ENSGALG00000011662	ENSGALT00000019063	chr1	47737682	47784522	-	7694.0	1	0.000	43.000	43.000	48.000
ENSGALG00000003687	ENSGALT00000005840	chr15	5242479	5247808	-	1418.0	1	0.000	34.000	25.000	39.000
SNTB2	ENSGALT00000044236	chr11	19162633	19169735	+	4054.0	1	0.000	144.000	157.000	196.000
ENSGALG00000043963	ENSGALT00000084286	chr1_NT_456110v1_random	9370	9528	-	158.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040261	ENSGALT00000074795	chr1_NT_456118v1_random	770	25361	-	747.0	1	0.000	0.000	0.000	0.000
GPR85	ENSGALT00000015369	chr1	26678474	26679586	+	1112.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046599	ENSGALT00000088665	chrUn_NT_473598v1	358	3515	+	2928.0	1	0.000	0.000	0.000	0.000
B3GNT7	ENSGALT00000012478	chr9	15318557	15322500	+	3206.0	1	0.000	0.000	2.000	4.000
ENSGALG00000032020	ENSGALT00000068824	chrUn_NT_474098v1	1593	4170	-	1257.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037004	ENSGALT00000078387	chr2_NT_457874v1_random	13942	28710	+	2905.0	1	0.000	0.000	0.000	0.000
ENSGALG00000029012	ENSGALT00000050229	chr3	111051932	111235595	-	2725.0	1	0.000	7.000	5.000	4.000
ARSI	ENSGALT00000009011	chr13	13183770	13188780	+	3722.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045156	ENSGALT00000089629	chrUn_NT_464152v1	14111	18074	+	3108.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032378	ENSGALT00000062451	chr1_NT_456375v1_random	4484	9254	-	3170.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045051	ENSGALT00000084165	chr2	56375443	56377957	-	1251.0	1	0.000	0.000	0.000	0.000
ANXA10	ENSGALT00000076917	chr4	25140785	25148964	+	570.0	1	0.000	0.000	0.000	1.000
ENSGALG00000002501	ENSGALT00000003944	chr19	4892456	4902579	+	1246.0	1	0.000	9.000	12.000	18.000
ENSGALG00000036499	ENSGALT00000063173	chrUn_NT_469182v1	2286	5482	-	706.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039416	ENSGALT00000046705	chr3	44064544	44080478	-	988.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037427	ENSGALT00000051862	chrUn_NT_466057v1	13720	16747	+	2506.0	1	0.000	0.000	0.000	0.000
DMRT2	ENSGALT00000043613	chrZ	26043375	26048985	+	3660.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040641	ENSGALT00000071065	chrUn_NT_466504v1	8546	9277	+	731.0	1	0.000	0.000	0.000	0.000
ENSGALG00000024288	ENSGALT00000041024	chr6	9258588	9260621	+	1578.0	1	0.000	4.000	3.000	4.000
ENSGALG00000038978	ENSGALT00000072398	chr2	47460370	47506605	+	2452.0	1	0.000	4.000	2.000	3.000
ENSGALG00000044731	ENSGALT00000088148	chr31	20281	24028	+	2489.0	1	0.000	2390.000	1841.000	2385.000
CALB2	ENSGALT00000042987	chr11	1547073	1551636	-	1084.0	1	0.000	0.000	0.000	1.000
ENSGALG00000045953	ENSGALT00000089006	chr2	55522635	55525785	-	296.0	1	0.000	11.000	7.000	11.000
CYB561A3	ENSGALT00000089662	chr5	66102	70536	-	3675.0	1	0.000	1565.000	1174.000	1902.000
EDNRB	ENSGALT00000065190	chr1	153919745	153932314	+	1549.0	1	0.000	1.000	4.000	7.000
ENSGALG00000005951	ENSGALT00000009569	chr15	8000035	8002344	-	882.0	1	0.000	6.000	3.000	3.000
SFRP2	ENSGALT00000015038	chr4	20225180	20230889	-	3752.0	1	0.000	45.000	46.000	57.000
ENSGALG00000040535	ENSGALT00000055846	chr3	2655800	2679973	-	1006.0	1	0.000	0.000	0.000	3.000
ENSGALG00000039345	ENSGALT00000070146	chrUn_NT_471514v1	2546	7524	-	2300.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040518	ENSGALT00000076419	chr1_NT_456195v1_random	7354	7686	-	332.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043731	ENSGALT00000059828	chr3	96665969	96674447	+	993.0	1	0.000	0.000	0.000	0.000
gga-mir-1687	ENSGALT00000042433	chr20	13296363	13296453	+	90.0	1	0.000	0.000	0.000	0.000
ENSGALG00000023266	ENSGALT00000060752	chr15	10040680	10047703	+	4484.0	1	0.000	6.000	4.000	9.000
ENSGALG00000037547	ENSGALT00000056114	chr3	16841575	16843284	+	642.0	1	0.000	4.000	2.000	2.000
B3GNT9	ENSGALT00000034432	chr11	2493393	2494640	-	1247.0	1	0.000	0.000	0.000	0.000
ENSGALG00000015733	ENSGALT00000025373	chr3	75724956	75772576	+	8321.0	1	0.000	6.000	4.000	9.000
SAMD10	ENSGALT00000009665	chr20	9642753	9652356	+	1632.0	1	0.000	0.000	0.000	1.000
MAP1LC3C	ENSGALT00000017478	chr3	35808585	35812392	+	2801.0	1	0.000	0.000	0.000	0.000
MMRN1	ENSGALT00000016922	chr4	35737241	35779227	+	3564.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045679	ENSGALT00000084099	chrZ	8961875	8968425	-	664.0	1	0.000	0.000	0.000	0.000
GRM8	ENSGALT00000077191	chr1	20929341	21246163	+	3044.0	1	0.000	0.000	0.000	0.000
RNF2	ENSGALT00000062457	chr8	8057403	8075540	+	5262.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044286	ENSGALT00000086443	chr2	58186026	58187864	+	378.0	1	0.000	0.000	0.000	0.000
ZFC3H1	ENSGALT00000016545	chr1	36351342	36388496	-	6117.0	1	0.000	94.000	75.000	134.000
ENSGALG00000036712	ENSGALT00000078189	chr13	13215351	13216885	+	460.0	1	0.000	0.000	0.000	0.000
PTH	ENSGALT00000061928	chr5	7527397	7531465	+	2149.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037715	ENSGALT00000059600	chrUn_NT_472845v1	3003	3109	-	106.0	1	0.000	0.000	0.000	0.000
STON2	ENSGALT00000017215	chr5	40911516	40968803	-	4781.0	1	0.000	15.000	30.000	36.000
KLHL11	ENSGALT00000005592	chr27	5116445	5123740	-	7218.0	1	0.000	78.000	53.000	68.000
ENSGALG00000044162	ENSGALT00000083969	chrUn_NT_465243v1	4690	6132	-	1272.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034532	ENSGALT00000075991	chr15	1306176	1307994	+	998.0	1	0.000	80.000	52.000	83.000
SNX9	ENSGALT00000022291	chr3	51880188	51919321	+	3716.0	1	0.000	8.000	14.000	16.000
ENSGALG00000036854	ENSGALT00000049520	chr22	1250416	1257995	-	2210.0	1	0.000	21.000	20.000	37.000
MTMR14	ENSGALT00000010655	chr12	11450538	11482263	+	3917.0	1	0.000	62.000	81.000	109.000
ENSGALG00000041622	ENSGALT00000052114	chr8	21589953	21597979	-	2155.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045505	ENSGALT00000090027	chrZ	35072823	35074979	+	1305.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032057	ENSGALT00000068639	chrUn_NT_464141v1	44434	53634	+	1834.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032412	ENSGALT00000053497	chr1_NT_456109v1_random	6448	8857	+	2165.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043894	ENSGALT00000084157	chr7_NT_461105v1_random	244	4416	-	2237.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046523	ENSGALT00000084978	chrZ_NT_463680v1_random	4539	7977	+	3357.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046445	ENSGALT00000089503	chr8_NT_461357v1_random	3168	7137	+	2713.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046090	ENSGALT00000083809	chr1_NT_456335v1_random	1002	1446	+	417.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036408	ENSGALT00000069436	chrUn_NT_469696v1	952	3523	-	1258.0	1	0.000	0.000	0.000	0.000
ENSGALG00000010030	ENSGALT00000016289	chr5	36011117	36040426	-	4440.0	1	0.000	144.000	164.000	198.000
ENSGALG00000031024	ENSGALT00000062485	chr6	10758512	10781894	-	729.0	1	0.000	0.000	0.000	0.000
NDUFS1	ENSGALT00000014015	chr7	12629321	12643088	+	2739.0	1	0.000	32.000	44.000	45.000
ENSGALG00000046283	ENSGALT00000073208	chrZ	25325395	25329467	-	1354.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034000	ENSGALT00000056259	chr6	29298920	29302042	-	1023.0	1	0.000	0.000	0.000	0.000
CASQ2	ENSGALT00000036952	chr1	80446094	80476861	+	2069.0	1	0.000	0.000	0.000	0.000
PTPRD	ENSGALT00000058492	chrZ	28782850	29057103	-	7751.0	1	0.000	0.000	0.000	0.000
gga-mir-1564	ENSGALT00000052848	chr14	12313005	12315075	-	2070.0	1	0.000	89.000	85.000	118.000
RPL38	ENSGALT00000057050	chr18	9191917	9196394	+	2678.0	1	0.000	1074.000	929.000	1385.000
MAP2K5	ENSGALT00000085949	chr10	18959629	19082528	+	2570.0	1	0.000	107.000	111.000	158.000
GRHL1	ENSGALT00000053781	chr3	96863531	96899127	+	1975.0	1	0.000	0.000	0.000	0.000
NTN3	ENSGALT00000054061	chr14	14037424	14063772	-	3808.0	1	0.000	0.000	0.000	0.000
ENSGALG00000038889	ENSGALT00000049623	chrUn_NT_471279v1	2030	7127	+	2683.0	1	0.000	0.000	0.000	0.000
BMT2	ENSGALT00000038899	chr1	26768477	26802391	+	3938.0	1	0.000	27.000	25.000	40.000
MC2R	ENSGALT00000060407	chr2	96738413	96739486	+	1073.0	1	0.000	0.000	0.000	0.000
ENSGALG00000007853	ENSGALT00000012751	chr3	1998194	2002311	+	690.0	1	0.000	0.000	0.000	0.000
ENSGALG00000042894	ENSGALT00000090226	chr27	3169191	3172245	+	1717.0	1	0.000	125.000	138.000	174.000
ENSGALG00000045518	ENSGALT00000085577	chrUn_NT_465725v1	8440	12275	+	2784.0	1	0.000	0.000	0.000	0.000
MTFR1	ENSGALT00000048631	chr2	115214834	115235527	+	2760.0	1	0.000	61.000	59.000	70.000
ENSGALG00000038118	ENSGALT00000073933	chrUn_NT_478222v1	26	1894	-	1657.0	1	0.000	0.000	0.000	0.000
SCRN3	ENSGALT00000082696	chr7	16969650	16979672	-	4907.0	1	0.000	31.000	50.000	50.000
ENSGALG00000003022	ENSGALT00000076175	chr8	4311449	4314332	-	1758.0	1	0.000	26.000	26.000	29.000
STARD5	ENSGALT00000034132	chr10	12102546	12106793	+	1887.0	1	0.000	91.000	78.000	71.000
MPHOSPH9	ENSGALT00000005406	chr15	5099849	5125800	+	5552.0	1	0.000	30.000	24.000	27.000
STX1A	ENSGALT00000047910	chr19	92674	139377	-	3502.0	1	0.000	0.000	2.000	6.000
ENSGALG00000031175	ENSGALT00000049085	chr26	585548	598612	+	2117.0	1	0.000	13.000	11.000	16.000
FRRS1L	ENSGALT00000044337	chr2	84566772	84574269	-	950.0	1	0.000	3.000	4.000	5.000
AKIRIN2	ENSGALT00000025464	chr3	76633221	76649785	+	1402.0	1	0.000	452.000	362.000	564.000
ENSGALG00000046641	ENSGALT00000087137	chrZ	68057683	68060393	-	963.0	1	0.000	0.000	0.000	0.000
MAGI3	ENSGALT00000002807	chr26	3667658	3720886	+	8844.0	1	0.000	10.000	9.000	9.000
ENSGALG00000044675	ENSGALT00000087239	chr2	127978273	128050362	+	2820.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034290	ENSGALT00000059943	chr20	1458714	1480565	-	1459.0	1	0.000	31.000	28.000	32.000
RER1	ENSGALT00000088895	chr21	1542548	1549775	-	1513.0	1	0.000	101.000	103.000	119.000
ZC2HC1A	ENSGALT00000080944	chr2	120797154	120818114	+	1127.0	1	0.000	0.000	2.000	0.000
LEFTY2	ENSGALT00000060958	chr3	17183515	17188758	-	3850.0	1	0.000	1.000	1.000	0.000
MATN3	ENSGALT00000036867	chr3	101851568	101868845	-	3821.0	1	0.000	1.000	0.000	1.000
ENSGALG00000027093	ENSGALT00000045694	chr4	69951720	69957151	+	2589.0	1	0.000	225.000	170.000	270.000
ENSGALG00000039148	ENSGALT00000060007	chr2	109441713	109454659	+	1994.0	1	0.000	0.000	0.000	0.000
ENSGALG00000027891	ENSGALT00000042927	chrZ	46440142	46459626	+	1810.0	1	0.000	106.000	86.000	69.000
HTR1E	ENSGALT00000025516	chr3	76904838	76905953	-	1115.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036747	ENSGALT00000047972	chrUn_NT_464186v1	17190	23496	+	3970.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035941	ENSGALT00000050613	chr2	133011859	133260252	-	596.0	1	0.000	0.000	0.000	0.000
GNAI2	ENSGALT00000080104	chr12	3190899	3203962	-	3920.0	1	0.000	2363.000	2544.000	3411.000
ENSGALG00000030082	ENSGALT00000052011	chrUn_NT_474037v1	3104	7034	+	3493.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046268	ENSGALT00000090017	chr5_NT_460584v1_random	2093	6580	+	3615.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032290	ENSGALT00000069016	chrUn_NT_473006v1	3347	7000	+	2458.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037370	ENSGALT00000055438	chr26	621402	647088	+	2542.0	1	0.000	1.000	2.000	2.000
PURG	ENSGALT00000044895	chr4	34929122	34930141	-	1019.0	1	0.000	9.000	23.000	23.000
gga-mir-1602	ENSGALT00000042434	chr4	76824300	76824390	+	90.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046189	ENSGALT00000089618	chrUn_NT_467773v1	7278	10179	-	2596.0	1	0.000	0.000	0.000	0.000
ENSGALG00000026120	ENSGALT00000042972	chr3	70049598	70049704	+	106.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044549	ENSGALT00000085046	chrZ	40036803	40037385	+	489.0	1	0.000	0.000	1.000	0.000
ENSGALG00000038584	ENSGALT00000071079	chr20	1125790	1160045	+	5887.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032277	ENSGALT00000048210	chrUn_NT_470944v1	3358	5688	-	790.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030240	ENSGALT00000072008	chrUn_NT_473250v1	1696	4181	-	2015.0	1	0.000	0.000	0.000	0.000
CRCP	ENSGALT00000054123	chr19	4944923	4974405	+	3571.0	1	0.000	156.000	137.000	185.000
STMN4	ENSGALT00000081392	chr3	105805950	105814807	+	2997.0	1	0.000	1.000	1.000	0.000
THUMPD2	ENSGALT00000014845	chr3	16761905	16770284	-	1968.0	1	0.000	20.000	28.000	24.000
ENSGALG00000038712	ENSGALT00000078049	chr2	66594313	66594395	-	82.0	1	0.000	0.000	0.000	0.000
WDR17	ENSGALT00000077839	chr4	44612181	44649685	+	3859.0	1	0.000	0.000	0.000	0.000
ENSGALG00000033934	ENSGALT00000047247	chrUn_NT_478364v1	21	3777	+	3693.0	1	0.000	0.000	0.000	0.000
ENSGALG00000007803	ENSGALT00000012658	chr6	22819215	22823045	-	1573.0	1	0.000	1.000	0.000	1.000
DOPEY1	ENSGALT00000049231	chr3	78212358	78267594	-	7459.0	1	0.000	37.000	29.000	42.000
ENSGALG00000044353	ENSGALT00000085993	chrUn_NT_464133v1	23223	25988	-	2320.0	1	0.000	0.000	0.000	0.000
SNAP23	ENSGALT00000014809	chr5	25708400	25723421	+	1451.0	1	0.000	6.000	13.000	17.000
ENSGALG00000033680	ENSGALT00000075801	chr16_NT_462549v1_random	18255	22287	-	3047.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046377	ENSGALT00000087542	chrUn_NT_464125v1	51158	53856	-	2516.0	1	0.000	0.000	0.000	0.000
ENSGALG00000006025	ENSGALT00000038916	chr2	4992188	5013715	-	9027.0	1	0.000	0.000	0.000	4.000
MREG	ENSGALT00000005966	chr7	4554264	4564159	-	3657.0	1	0.000	4.000	3.000	6.000
ENSGALG00000039561	ENSGALT00000080251	chr3	22484525	22487973	-	837.0	1	0.000	0.000	0.000	0.000
FAM206A	ENSGALT00000086010	chr2	88855233	88857335	-	708.0	1	0.000	113.000	100.000	109.000
gga-mir-1751	ENSGALT00000042211	chr4	50422148	50422237	+	89.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037211	ENSGALT00000067027	chrUn_NT_471713v1	3364	7584	+	3879.0	1	0.000	0.000	0.000	0.000
CNTNAP5	ENSGALT00000018885	chr7	24543119	24814619	-	5874.0	1	0.000	0.000	0.000	0.000
C12orf10	ENSGALT00000055331	chr33_NT_463458v1_random	47638	50396	+	1460.0	1	0.000	0.000	0.000	0.000
ENSGALG00000017380	ENSGALT00000028065	chr8	21669092	21670565	+	549.0	1	0.000	239.000	280.000	324.000
ENSGALG00000029353	ENSGALT00000077547	chr13_NT_462222v1_random	2193	5979	-	2974.0	1	0.000	0.000	0.000	0.000
ENSGALG00000028496	ENSGALT00000034380	chr24	4306089	4309236	-	560.0	1	0.000	0.000	0.000	0.000
